Unnamed: 0,URL,Image_Name,Folder_Name,Store_Name,Store_Category,Store_Location,NIMA Model Score,Paq2piq Local Score,Paq2piq Global Score,Paq2piq Class
25,https://drive.google.com/file/d/1vWkNZ5dek_hnEFJ_ZAbmxO-8n8wBdEMA/view?usp=drive_link,25_Chinese Cuisine.jpeg,Restaurant,Soong Soong Restaurant,Asian Restaurant,"San Jose, CA",,67.81396484375,73.37458929938718,Good
26,https://drive.google.com/file/d/1SWdGqrDciOfDcICDkSpqD8qZfVFcY3Y1/view?usp=drive_link,26_Cafe.jpeg,Restaurant,CAFFE:iN - Santa Clara,Coffee Shop,"Santa Clara, CA",,67.90652465820312,65.72550900162254,Good
27,https://drive.google.com/file/d/1hsAFZ4VtL5l1YBqRhux6qzkUAJeWiWVE/view?usp=drive_link,27_Grill and Bar.HEIC,Restaurant,Calix-Mex Cafe Bar & Grill,American Restaurant,"Santa Clara, CA",,68.18447875976562,71.790192440308,Good
28,https://drive.google.com/file/d/1R7SYvSYk-aMpTzut_shxBoANUxSfXn5g/view?usp=drive_link,28_Halal Food.jpeg,Restaurant,Shawarmaji,Halal Restaurant,"Santa Clara, CA",,68.64346313476562,69.54799275069355,Good
29,https://drive.google.com/file/d/1-64mT6H2bxO_X3R2etoaygMhdnQwsd0v/view?usp=drive_link,29_Bar.jpeg,Restaurant,Woof's Bar,Coffee Shop,"Santa Clara, CA",,68.68968963623047,70.65708052608177,Good
30,https://drive.google.com/file/d/1c6r8qFbNdTmC-f8yH1aaRW243gb3jYF9/view?usp=drive_link,30_Sushi.jpeg,Restaurant,Akita Sushi,Asian Restaurant,"Santa Clara, CA",,69.51652526855469,73.23189070640889,Good
31,https://drive.google.com/file/d/1VN6K9hoEP8nDUBTATfQxJ4UYVUj-ixIV/view?usp=drive_link,31_Ramen.jpeg,Restaurant,Ramen Taka,Asian Restaurant,"Santa Clara, CA",,68.98082733154297,72.91714911531437,Good
32,https://drive.google.com/file/d/1-fss4rt0XylqQ0uUuUcACg8sBdXCF5VT/view?usp=drive_link,32_Taco Salad.jpeg,Restaurant,El Amigo Taqueria,American Restaurant,"Santa Clara, CA",,66.62532806396484,65.3481009668834,Good
33,https://drive.google.com/file/d/1fZ9AiVQSknlut5NiRV5J4pEpom48TIyJ/view?usp=drive_link,33_Bar.jpeg,Restaurant,Smoke This Hookah Lounge,Liquor Bar,"Santa Clara, CA",,67.92391967773438,74.71714660331473,Good
34,https://drive.google.com/file/d/14unKTv0yM7Q332Ee-Ym9hCRMm0d9m63I/view?usp=drive_link,34_Pizza.jpeg,Restaurant,Got2go Pizza,American Restaurant,"San Jose, CA",,68.47730255126953,76.1108789251991,Good
35,https://drive.google.com/file/d/1_RzeveWCH2peCaC1FdbF1bjlvdft96tC/view?usp=drive_link,35_Korean BBQ.jpeg,Restaurant,Yakini Q SJ,Asian Restaurant,"San Jose, CA",,67.50947570800781,72.60118907141137,Good
36,https://drive.google.com/file/d/1Pfv29Ar0PTNYWXLhOreEyyZaXVI3f1As/view?usp=drive_link,36_Japanese Cuisine.jpg,Restaurant,Minato Japanese Restaurant,Asian Restaurant,"San Jose, CA",,67.14165496826172,79.42358557494671,Good
37,https://drive.google.com/file/d/1wY5_pBgfxYWIU6IV7KX7GOZ_u9FqSvn0/view?usp=drive_link,37_Vietnamese Restaurant.jpeg,Restaurant,Pho Lyfe,Asian Restaurant,"Santa Clara, CA",,66.56279754638672,78.45360829386695,Good
38,https://drive.google.com/file/d/1bOZuIAAbemdlZpSvW9N06A4Dekc3NEEL/view?usp=drive_link,38_Sweet Store.jpeg,Restaurant,SOMISOMI,Coffee Shop,"San Jose, CA",,65.60041046142578,68.42947643301193,Good
39,https://drive.google.com/file/d/1JpDij0F7YF5lCfiPoXWDUufosBt-5aVa/view?usp=drive_link,39_Donut Store.jpeg,Restaurant,Dunkin',Coffee Shop,"San Jose, CA",,67.30462646484375,74.52379337326659,Good
40,https://drive.google.com/file/d/1lTMvYhVNN7MBIOTUXPQXINIb-BXyFCqd/view?usp=drive_link,40_Curry.jpeg,Restaurant,Sam & Curry,Asian Restaurant,"San Jose, CA",,68.77635955810547,75.29913551040595,Good
41,https://drive.google.com/file/d/1QvjMDmJqiWOBNI7pTFEObi84b5kVBlHc/view?usp=drive_link,41_Japanese BBQ.jpeg,Restaurant,Sumiya Bento,Asian Restaurant,"Milpitas, CA",,64.69618225097656,68.85194970379756,Good
42,https://drive.google.com/file/d/1hl4muO-PcLc4pSrqRKYm6Jkm79Bv63Q2/view?usp=drive_link,42_Vegan Cuisine.jpeg,Restaurant,Loving Hut,Asian Restaurant,"Milpitas, CA",,66.99581909179688,75.96435997497751,Good
43,https://drive.google.com/file/d/1m9wBwOcqAEzZTDrVBWAjuHz5qZqAHrYp/view?usp=drive_link,43_Combo Lunch.jpeg,Restaurant,Pepper Lunch,Asian Restaurant,"Milpitas, CA",,64.7779312133789,72.94764851217704,Good
44,https://drive.google.com/file/d/1aIN1wWqhgAmSavN0VMtkx1MHEE2eOqdu/view?usp=drive_link,44_Shabu.jpeg,Restaurant,Mala Town,Asian Restaurant,"Milpitas, CA",,67.68148040771484,71.49654040179867,Good
45,https://drive.google.com/file/d/1oS1mLrClGGb36af3NXaZvd-QfOTMNeGB/view?usp=drive_link,45_Indian Restaurant.jpeg,Restaurant,Anjappar Chettinad Indian Restaurant,Asian Restaurant,"Milpitas, CA",,65.50438690185547,69.97304067050469,Good
46,https://drive.google.com/file/d/1cUqh87ZtUWzUAHCRjkWi_FKh67AJd1zl/view?usp=drive_link,46_Noodle Restaurant.jpeg,Restaurant,King Noodle,Asian Restaurant,"Fremont, CA",,66.71310424804688,71.25306738498648,Good
47,https://drive.google.com/file/d/1NMgidNdlUp3ymOOu5JkrPE_4bmsAbmZ0/view?usp=drive_link,47_Drive Thru Cafe.png,Restaurant,Caffino Drive-Thru Espresso,Coffee Shop,"Santa Clara, CA",,68.8008804321289,81.964681599281,Excellent
48,https://drive.google.com/file/d/1kGSxiv60PaYd4eH7nepHRsR8NuMDfC73/view?usp=drive_link,48_Alabama Cafe.jpeg,Restaurant,Alabama Hills Cafe & Bakery,American Restaurant,"Lone Pine, CA",,63.785682678222656,42.679133082492015,Fair
49,https://drive.google.com/file/d/1ciqRdgkCOs2lil0fFAJUIorWmMF7icFx/view?usp=drive_link,49_Bagel Store.jpeg,Restaurant,Bagel Street Cafe,Bakery Store,"Sunnyvale, CA",,66.03832244873047,72.52977369003536,Good
50,https://drive.google.com/file/d/1ugA1jCWHZZWEGwHmX4IDkTC6y5kWKPZ5/view?usp=drive_link,50_Donut Store.jpeg,Restaurant,Marty's Donuts,Bakery Store,"Sunnyvale, CA",,67.0997543334961,71.87796133777758,Good
51,https://drive.google.com/file/d/1M3IhGoTuhxvmXj0BNmL9bUri6sArW-If/view?usp=drive_link,51_Brunch Restaurant.jpeg,Restaurant,López Taqueria,Mexican Restaurant,"Sunnyvale, CA",,68.37593841552734,76.51956830471532,Good
52,https://drive.google.com/file/d/1uhLUGsAcQXgyrbDv9JHYncgkdQWq-cT3/view?usp=drive_link,52_Indian Restaurant.jpeg,Restaurant,Himalayan Magic Masala,Asian Restaurant,"San Jose, CA",,65.30506134033203,70.61652536487998,Good
53,https://drive.google.com/file/d/1BFv0jqkqLkN3oLXYD84VGGBVEGaJeu8w/view?usp=drive_link,53_Pizza Store.jpeg,Restaurant,Pizz'A Chicago,American Restaurant,"Santa Clara, CA",,67.13861083984375,71.6068241610913,Good
54,https://drive.google.com/file/d/1P4L1puBJ58reUTQttel3ZKspRTnZX2n7/view?usp=drive_link,54_American Food.jpeg,Restaurant,Chalateco,Mexican Restaurant,"Santa Clara, CA",,65.24728393554688,75.89348663661669,Good
55,https://drive.google.com/file/d/1rCIFotOiE2woyzfOBVE1xnECELwDhAcB/view?usp=drive_link,55_Indian Food.jpeg,Restaurant,Mom's Biriyani,Asian Restaurant,"Sunnyvale, CA",,67.3442611694336,78.31683696611331,Good
56,https://drive.google.com/file/d/1W600L8DnxB1mq7P-gwA1f0l76AenHuxF/view?usp=drive_link,56_Indian Vegan Food.jpeg,Restaurant,Mylapore South Indian Westgate,Asian Restaurant,"San Jose, CA",,66.66455841064453,75.93600556274647,Good
57,https://drive.google.com/file/d/1SOQRN2syjobmiD8SVJxXFvQNGIKMvfiL/view?usp=drive_link,57_Mexican Food.jpeg,Restaurant,Pupusería La Chalateca,Mexican Restaurant,"San Jose, CA",,67.23616027832031,74.6494463191427,Good
58,https://drive.google.com/file/d/1KFCtWnfXzfK7kAGRlAlVGtxSH7_Bg7Zb/view?usp=drive_link,58_Pizza store.jpeg,Restaurant,City Pizza,American Restaurant,"Campbell, CA",,66.225830078125,77.48086410953455,Good
59,https://drive.google.com/file/d/1frlW3bj0mYb22P3AV27bT_r4c0nmyioi/view?usp=drive_link,59_Mexican Food.jpeg,Restaurant,Taqueria Los Pericos ,Mexican Restaurant,"Campbell, CA",,67.42813873291016,74.7561370931866,Good
60,https://drive.google.com/file/d/1HesD7PBuk9zERxvrLKogY0ltu96tvGgG/view?usp=drive_link,60_Rice Noodle.jpeg,Restaurant,575 Miishien（Rice noodle soup）,Asian Restaurant,"San Jose, CA",,66.68501281738281,76.49299080283001,Good
61,https://drive.google.com/file/d/1pGB8EkvCsNT8_FTKVl6bwD3HPnoa75NN/view?usp=drive_link,61_Mexican American Food.jpeg,Restaurant,El Buen Sazón,Mexican Restaurant,"San Jose, CA",,67.29837036132812,78.2993217069912,Good
62,https://drive.google.com/file/d/1snCiqV4N1Bfz04cYKNy4ONnf1wHa64nr/view?usp=drive_link,62_Mexican Food.jpeg,Restaurant,Casa Lupe,Mexican Restaurant,"Campbell, CA",,65.38898468017578,75.57729813281207,Good
63,https://drive.google.com/file/d/18RCXCewB7Bb98NGXjil77iR5P6gIzC8Y/view?usp=drive_link,63_Tea Cafe.jpeg,Restaurant,Sinceretea,Coffee Shop,"San Jose, CA",,66.68042755126953,66.92169093887364,Good
64,https://drive.google.com/file/d/1jUWW37XrnkQmlB072S8dKiZHG_1A_fBq/view?usp=drive_link,64_Japanese Cuisine.jpeg,Restaurant,Gombei,Asian Restaurant,"San Jose, CA",,66.81139373779297,64.42197307810784,Good
65,https://drive.google.com/file/d/1VuRZz5rw6a0xTtbc6SkQXgvLwXbc-2eB/view?usp=drive_link,65_Shabu.jpeg,Restaurant,Shabu Time,Asian Restaurant,"San Jose, CA",,63.93525314331055,62.48036810127151,Good
66,https://drive.google.com/file/d/1oJOqdTjacJx03Bx_1z2rL7HYNZ-TPunB/view?usp=drive_link,66_Korean Kitchen.jpeg,Restaurant,HoM Korean Kitchen,Asian Restaurant,"San Jose, CA",,62.439090728759766,59.72808604920345,Fair
67,https://drive.google.com/file/d/1qJMUeH2rEFYzjFX0jTEtaZFdEPzHynqS/view?usp=drive_link,67_Liquor bar.jpeg,Restaurant,Cash Only,Liquor Bar,"San Jose, CA",,64.41265869140625,65.92730821662185,Good
68,https://drive.google.com/file/d/13rIji6K2MRM8lSiGfuo3OmA2GnayTaRK/view?usp=drive_link,68_Food Court.jpeg,Restaurant,San Jose's Downtown Food Hall,American Restaurant,"San Jose, CA",,65.85052490234375,69.62613778766777,Good
69,https://drive.google.com/file/d/1b30d64evAxGBjr9rZwGFrH-agU5xzaU4/view?usp=drive_link,69_Pizza.jpeg,Restaurant,Mountain Mike's Pizza,American Restaurant,"San Jose, CA",,66.4320297241211,63.98744334740276,Good
70,https://drive.google.com/file/d/1cfvfVx0QEr0CWcRL9Rhpo3yJQ6hSodss/view?usp=drive_link,70_Bar and Restaurant.jpeg,Restaurant,Nexus Restaurant & Lounge Bar,Liquor Bar,"San Jose, CA",,63.61313629150391,60.73358415276535,Good
71,https://drive.google.com/file/d/1HnxB3xwR71eTtuY_e19A3sMvoU8gsvja/view?usp=drive_link,71_Korean Restaurant.jpeg,Restaurant,Cheon Joo House,Asian Restaurant,"Santa Clara, CA",,56.83384704589844,49.19381190223579,Fair
72,https://drive.google.com/file/d/1aNZA56iB1pUKv8961LMtVyTurNYmBr_I/view?usp=drive_link,01_Art store.jpeg,Retail,The Passdoor,Art Gallery,"Sonoma, CA",,67.03253173828125,65.51987444738522,Good
73,https://drive.google.com/file/d/1ABZ60yNZasiw8TdkYoYeGvgtONxRWzaq/view?usp=drive_link,02_Cosmetics Retail Store.jpeg,Retail,Sally Beauty,Cosmetics Store,"San Jose, CA",,67.55217742919922,64.3489240705841,Good
74,https://drive.google.com/file/d/1hQVu3F58usZAfTqbvlOpEag7nBMtdz40/view?usp=drive_link,03_Clothing retail.jpeg,Retail,Cukui,Clothing Store,"San Jose, CA",,67.11786651611328,74.28842890575886,Good
75,https://drive.google.com/file/d/1Dh4pAW1_0Uiny81_bQ6mgViVhrMS4RVP/view?usp=drive_link,04_Flower and Art shop.jpeg,Retail,FLOWER + HEWES,Art Gallery,"Sonoma, CA",,63.03468704223633,62.93141109814019,Good
76,https://drive.google.com/file/d/1GhLQHhI3-jqGMWBmM3dct52dWoKahT07/view?usp=drive_link,05_Dry Cleaner Store.jpeg,Retail,Nancy Cleaners,Cleaners,"Sunnyvale, CA",,54.89399337768555,43.932951645514144,Fair
77,https://drive.google.com/file/d/1ShqbLSQH9pwB1-ZeVw7GatQiBEy2lq8a/view?usp=drive_link,06_Convenience store.jpeg,Retail,Taylor Street Market,Convenience Store,"San Jose, CA",,69.85067749023438,75.85864650162377,Good
78,https://drive.google.com/file/d/1UTTrPNioj5IawtFBMHke6n2-bJIPLb7O/view?usp=drive_link,07_Retail store selling fireplaces.jpeg,Retail,Penguin Fireplace,Furniture Store,"San Jose, CA",,67.72665405273438,73.218043497929,Good
79,https://drive.google.com/file/d/1bh1OGZO5qAm-iLxVyV35ym6VsxY4Sqxm/view?usp=drive_link,08_Japanese Grocery.jpeg,Retail,Nijiya Market San Jose Store,Grocery Store,"San Jose, CA",,68.8706283569336,71.54004309222967,Good
80,https://drive.google.com/file/d/19AnQ0YBu_XPFsuSa5xxZO2oIvK0_Ju-r/view?usp=drive_link,09_Furniture retail.HEIC,Retail,United Furniture Club,Furniture Store,"Cupertino, CA",,68.88197326660156,74.03705955292287,Good
81,https://drive.google.com/file/d/1oGNxRsimPCqgYAfhO82xnzz9SuPuevSP/view?usp=drive_link,10_Florist store.HEIC,Retail,Uni Floral,Florist Store,"Cupertino, CA",,67.32222747802734,68.25482644808159,Good
82,https://drive.google.com/file/d/1KJbmv7wgcT50yTDXE5DpCBjeCiApP1PD/view?usp=drive_link,11_clothes store.HEIC,Retail,Le Caprice,Clothing Store,"Cupertino, CA",,67.41287994384766,66.56594546834911,Good
83,https://drive.google.com/file/d/1XH62ZPWyMSWwyLcd1DSTGHYxgQAv6wwp/view?usp=drive_link,12_Decoration store.HEIC,Retail,Okaigan Karate,Coach Store,"Cupertino, CA",,68.51347351074219,73.05604004326612,Good
84,https://drive.google.com/file/d/1fzjmLsSuazLhAb0c_ncyM8UFJsUJSaJr/view?usp=drive_link,13_Candy shop.HEIC,Retail,See's Candies,Sweet Shop,"San Jose, CA",,65.66109466552734,62.64869687893922,Good
85,https://drive.google.com/file/d/1z8jE6uMUskK8ol5Dy4gF0gdYZSLj6Pi4/view?usp=drive_link,14_Gift Shop.jpeg,Retail,Empire Seven Studios,Gift Shop,"San Jose, CA",,69.35340118408203,74.40126271271225,Good
86,https://drive.google.com/file/d/1x_aCyDutNlgth-hifTJ_6u7XaUBJ-NC0/view?usp=drive_link,15_Pottery Store.HEIC,Retail,Paqueteria Neza,Pottery store,"San Jose, CA",,67.62333679199219,68.25100886504377,Good
87,https://drive.google.com/file/d/1zPtGUfeOnXkNNTFy4HIVn4CQKULksVE7/view?usp=drive_link,16_Mexican Market.HEIC,Retail,Cardenas Markets,Grocery Store,"San Jose, CA",,66.34745788574219,71.62301781565174,Good
88,https://drive.google.com/file/d/1To3sL97eKb35bSnncQSjp8AnyuBpkaIj/view?usp=drive_link,17_Insurance Retail.HEIC,Retail,Auto International Insurance,Insurance Store,"San Jose, CA",,67.19597625732422,71.0568436168424,Good
89,https://drive.google.com/file/d/1HWQFzOXpqfuc8UKd4sW4KyYhT1lFpYQS/view?usp=drive_link,18_Vitamin and supplements.HEIC,Retail,Natural La Salud,Pharmacy Store,"San Jose, CA",,67.77130126953125,70.43093756064127,Good
90,https://drive.google.com/file/d/1fbf3mND5n7osRoD_vlOMcecQcSobFHsw/view?usp=drive_link,19_Smoke shop.jpeg,Retail,Fatcat Smoke Shop,Tobacco Shop ,"Santa Clara, CA",,68.90170288085938,71.77122881852013,Good
91,https://drive.google.com/file/d/1sr_0gvu8tfyajhZlJxwQ8LAnNPhitFXC/view?usp=drive_link,20_Men Clothing Store.jpeg,Retail,Esmeralda's Jewelry,Clothing Store,"San Jose, CA",,67.72372436523438,67.88127150878061,Good
92,https://drive.google.com/file/d/1eeDFDnQ004A6iqyaT0QZGzVOmr66xxyg/view?usp=drive_link,21_Toy Store.jpeg,Retail,Claw Meee,Toy Store,"Milpitas, CA",,67.98078155517578,72.36176452397082,Good
93,https://drive.google.com/file/d/1no6bgBFGqoGQrlZUmMu9qLkTPoruPUm7/view?usp=drive_link,22_Cosmetics Store.jpeg,Retail,TokTok Beauty,Cosmetics Store,"Milpitas, CA",,64.69453430175781,70.76896234339023,Good
94,https://drive.google.com/file/d/1PniygZTFpLGxNLZDrzSLTdv_FvfcgITH/view?usp=drive_link,23_Korean Cosmetic Store.jpeg,Retail,Kira Kira Beauty,Cosmetics Store,"Cupertino, CA",,67.19467163085938,77.62191271433467,Good
95,https://drive.google.com/file/d/1ODLDdsVKaLpyJHuVolPd6C9K9t3_T_2u/view?usp=drive_link,24_Cosmetic Store.jpeg,Retail,The Cosmetics Company Store,Cosmetics Store,"Milpitas, CA",,65.90579986572266,74.0947710625086,Good
96,https://drive.google.com/file/d/1AUB31zWUx3pQmdCr-Kg5j6nrjgoSW1Iz/view?usp=drive_link,25_Smoke Shop.jpeg,Retail,S&A Smoke Shop,Tobacco Shop ,"San Jose, CA",,68.04485321044922,78.94576169076512,Good
97,https://drive.google.com/file/d/10E-9ilzz8r5Tzd6-U7kcfv_5aZ2qFfDx/view?usp=drive_link,26_Tabacco Shop.jpeg,Retail,Hot Box Smoke Shop,Tobacco Shop ,"Santa Clara, CA",,64.39691925048828,74.31368641710164,Good
98,https://drive.google.com/file/d/1ja3k1Y0_SGBNB-W8zRcNhzTiuKnpVwRh/view?usp=drive_link,27_Smoke Shop.jpeg,Retail,A1 plus smoke shop,Tobacco Shop ,"San Jose, CA",,68.0728530883789,76.05012128359213,Good
99,https://drive.google.com/file/d/1ezFNYQjEtyfDXmbvu7YWHqxDDcZAjaGg/view?usp=drive_link,28_Street Convenience Store.jpeg,Retail,Smile Market Inc,Convenience Store,"San Jose, CA",,67.26234436035156,78.03493013976441,Good
100,https://drive.google.com/file/d/1hHvfGNQiTBDwL3GdHCq7pBFiaW4S2ZrK/view?usp=drive_link,29_Quick Buy Store.jpeg,Retail,Quik Buy Market,Convenience Store,"Santa Clara, CA",,66.58771514892578,74.96926479693927,Good
101,https://drive.google.com/file/d/1n5pEHSocysoYs6c1qi3wkJv7nbPVzsTK/view?usp=drive_link,30_Glass Store.jpeg,Retail,Japantown Optometry,Optical Store,"San Jose, CA",,67.3781509399414,71.99987540818543,Good
102,https://drive.google.com/file/d/1_BVZrQ5D87B3BYaGpcDEu7xUUaCAGrcZ/view?usp=drive_link,31_Handicrafts.jpeg,Retail,San Jose Made,Toy Store,"San Jose, CA",,66.59867858886719,67.68652150525115,Good
103,https://drive.google.com/file/d/15E46KpJZhZDCIz1CLRVvX1SzrJNzPlPo/view?usp=drive_link,32_Clothing Store.jpeg,Retail,Diaz,Clothing Store,"San Jose, CA",,65.13353729248047,67.348780821705,Good
